rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
3540,138660030,1,1875.56,1,69939.3,36.4638,0.335245,2,12.9693,6156,1.36924,3,24,0,0,8.02691,1517.31,1882.66,0.994221,136.166,25.5247,False,False,1,2.77575,True,1,,,single_partial,True,3.52369,False,B
3547,16119299,1,1871.94,4,16151,36.3823,0.166381,5,11.7096,5856.8,1.26408,3,24,0,0,7.03391,466.87,742.977,0.982001,136.381,36.529,False,False,0,0.881489,True,1,,,single_partial,True,1.56326,True,B
3548,117381328,1,1890.35,1,8727.75,36.3146,0.497341,2,10.4042,5646.39,1.27848,3,24,0,0,,77.0589,329.93,0.993355,132.16,26.388,False,False,0,2.00679,True,1,,,single_partial,True,1.16226,True,B
3564,3800443,1,1873,3,11065.4,36.1633,0.166299,4,10.993,6392,1.66912,3,24,0,0,5.05392,159.951,476.874,0.983267,128.785,28.3976,False,False,4,2.02555,True,2,,,single_partial,True,1.70855,True,B
3577,86118803,1,1873.55,1.5,18997.2,36.0361,69.8332,3,11.8916,6318.21,1.32112,3,24,0,0,,187.58,890.955,0.863606,140.217,23.2695,False,False,2,1.68796,False,1,,,single,True,1.77192,True,A
3578,117377903,1,1890.93,2,21765.1,36.0255,96.0013,4,12.425,5796.28,1.84847,3,24,0,0,,205.507,1154.04,0.863282,131.996,26.4202,False,False,1,2.08181,False,1,,,single,True,2.65369,False,B
3644,1043578,1,1876.79,1,48953,34.8893,0.33948,2,12.6845,5700,0.885813,3,24,0,0,8.52883,751.73,1719.6,0.930102,154.172,24.2783,False,False,2,0.562653,True,1,,,single_partial,True,1.90717,True,B
3645,91987762,1,1894.25,3,2879.71,34.8682,84.3384,5,7.4098,6303.91,1.61034,3,24,0,0,3.79054,45.3443,122.036,0.997202,144.556,23.5469,False,False,3,1.95053,False,1,1898.01,1898.01,single,True,0.84091,True,A
3656,126316425,1,1881.75,2,8224.06,34.6662,53.3343,4,10.9312,5744,1.31473,3,24,0,0,,109.036,463.066,0.995645,134.4,25.9659,False,False,3,2.36314,False,1,,,single,True,1.16021,True,A
3682,441739020,1,1873.16,3,5044.95,34.3839,60.5,6,9.4682,6345,1.31225,3,24,0,0,12.3295,83.3067,238.826,0.971098,259.017,72.1612,False,False,0,1.20033,False,1,1670.01,"1670.01,1670.02,1670.03",single,True,0.90699,True,A
