rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
8044,149366336,10,1883.54,1,161734,9.38244,10.3366,2,10.6901,6263.92,2.18606,1.5,12,1,1,0.609188,47051,9960.9,0.748857,138.969,25.3606,True,False,4,1.36912,False,10,,,repeating,False,8.55501,False,
8045,3755457,1,1883.75,4,1957.62,9.38074,5.49806,8,10.6521,5751,1.56209,3,24,0,0,1.5867,145.158,464.704,0.849545,128.482,25.5043,True,False,1,1.85675,False,1,,,single,True,0.672555,True,B
8046,142785734,8,1879.7,2,4427.04,9.37557,102.496,3,11.7867,6037,1.01924,3,24,0,0,5.2483,303.772,788,0.867631,154.537,76.9382,False,False,0,0.5,False,9,,,secondary,False,0.659919,True,
8047,103754216,1,1897.49,6,1142.99,9.37549,6.49322,12,10.9367,5904,1.12496,3,24,0,0,,89.5618,464.557,0.914215,157.747,67.7715,False,False,1,0.918999,False,1,,,single,True,0.370097,True,A
8048,188512864,9,1877.56,1,77258.8,9.37325,153.836,2,7.6436,6501,1.17618,2,16,1,0,10.4968,21380.9,3156.26,0.549944,143.848,39.9573,False,False,2,1.2941,False,10,,,repeating,False,3.1813,False,
8049,91987938,1,1880.56,6,3702.1,9.36973,81.8399,12,12.6102,3229,0.407239,3,24,0,0,,256.107,1456.9,0.965329,144.649,22.7478,False,False,2,2.11933,False,1,,,single,True,0.241119,True,A
8050,137939655,1,1896.95,16,679.848,9.36875,19.496,32,10.5276,5864,0.970932,3,24,0,0,,56.9055,319.852,0.99341,153.034,58.5421,True,False,2,0.768959,False,1,,,single,True,0.24635,True,B
8051,95312813,1,1877.02,3,3462.72,9.36872,153.166,6,11.938,5867,1.60508,3,24,0,0,,142.391,845.305,0.995381,153.298,23.3748,False,False,2,0.656428,False,1,,,single,True,0.9191,True,A
8052,188463002,1,1873.27,1,16204.6,9.36441,62.6667,2,12.9837,5229.79,0.769725,3,24,0,0,10.4245,2111.18,1726.49,0.937141,132.879,37.0785,False,False,0,1.36912,False,1,,,single,True,0.953483,True,A
8053,99091143,1,1879.59,1.5,1146.86,9.36416,105.164,3,8.9089,5746.71,0.919369,3,24,0,0,3.17339,48.6238,181.262,0.984983,130.803,38.8406,False,False,1,1.01277,False,1,,,single,True,0.302972,True,A
8054,198507635,10,1887.41,1,135417,9.3636,51.5005,2,8.6752,6968,2.77314,0.5,4,1,1,0.782443,51567.4,5838.27,0.994216,197.491,75.5882,False,False,0,0.768959,False,10,,,repeating,False,9.93036,False,
8055,309998013,5,1896.03,1,357678,9.35817,41.4969,2,11.6906,4718,1.08968,1.5,12,1,1,0.639246,34408.8,19050.3,0.99553,214.074,76.2111,False,False,1,0.5,False,10,,,repeating,False,6.34166,False,
8056,88645625,1,1883.62,4,4381.07,9.35636,8.4971,8,12.5685,6238.82,1.43109,3,24,0,0,,266.186,1265.04,0.98127,130.718,39.8735,True,False,1,0.787714,False,1,,,single,True,0.921753,True,B
8057,230133211,3,1896.6,1,14714.3,9.34908,27.8364,2,10.752,6113,1.41457,3,24,0,1,0.199336,3856.44,1061.14,0.983102,252.501,68.0869,False,False,1,1.25659,False,9,,,repeating,False,1.66975,True,
