toi,tic,disp,period_d,depth_ppm,dur_h,n_pred,recovered,category,snr
6044.01,356916207,PC,2.25386,383.727,1.51075,12,False,,
6067.01,198458010,PC,87.2129,659,2.986,1,False,,
6069.01,259099556,FA,1.62909,411.753,4.63152,15,False,,
6082.01,199712572,PC,3.59417,100,1.882,6,False,,
7389.01,224603921,CP,26.3451,130,6.144,1,False,,
7391.01,258776466,CP,7.41085,1257.56,1.97193,4,False,,
7392.01,198178859,PC,7.30506,180.422,3.25317,4,False,,
7397.01,259238498,PC,26.6797,367.923,5.56657,1,False,,
7626.01,229605578,PC,5.07121,229.94,1.81418,5,False,,
7000.01,154926644,PC,2.78976,3360,3.375,10,False,,
7005.01,99834321,APC,8.14201,5380,1.89,2,False,,
7709.01,399789568,PC,20.9203,1933.49,2.94104,1,False,,
7333.01,160585062,PC,6.26447,780,2.508,4,False,,
7090.01,166178400,APC,60.6826,8480,3.983,1,True,single,31.0082
7357.01,270494650,PC,60.3542,2598,6.682,1,True,single,10.263
6885.01,154067753,PC,11.6515,15415.7,4.11307,3,True,repeating,31.4339
