tic,trial,t0,depth_ppm,duration_h,expected_snr,expected_snr_white,window_d,max_dur_h,long_limited,hf_variable,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,measured_snr
16814334,12,1892.47,1459.38,16,13.9172,48.6681,3,24,0,0,1,1,1892.43,1257.35,12,9.97733
16814334,13,1887.95,1571.21,16,14.9836,52.3973,3,24,0,0,1,1,1887.96,1441.03,16,14.0331
16814334,14,1873.58,2120.52,4,15.1422,35.358,3,24,0,0,1,1,1873.56,2300.83,3,17.9132
16814334,15,1881.91,1191.65,1,7.09252,9.93489,3,24,0,0,0,0,,,,5.32999
16814334,16,1877.41,4621.19,16,44.0693,154.109,3,24,0,0,1,1,1877.42,4536.72,12,38.3315
16814334,17,1877.95,2670.87,2,17.8651,31.4907,3,24,0,0,1,1,1877.95,2646.83,1.5,18.1939
16814334,18,1891.58,698.525,8,5.55923,16.4718,3,24,0,0,0,0,,,,5.42985
16814334,19,1882.91,1189.99,1,7.08268,9.92109,3,24,0,0,0,0,,,,2.36191
27068212,0,1895.02,771.777,16,5.44016,5.09611,3,24,0,0,0,0,,,,4.96612
27068212,1,1881.31,8042.73,8,37.3281,37.5522,3,24,0,0,1,1,1881.31,7437.65,8,37.3645
27068212,2,1872.1,18098,2,40.9378,42.2506,3,24,0,0,1,1,1872.09,18046.5,1.5,38.6898
27068212,3,1891.66,9146.97,2,20.6905,21.354,3,24,0,0,1,1,1891.65,8657.94,1.5,18.7779
27068212,4,1877.64,12505.8,4,40.0995,41.2886,3,24,0,0,1,1,1877.65,11053.9,4,38.9591
27068212,5,1883.91,5328.53,16,37.5601,35.1847,3,24,0,0,1,1,1883.73,5044.08,6,21.8377
27068212,6,1889.39,3072,16,21.6541,20.2847,3,24,0,0,1,1,1889.38,2785.5,16,20.3638
27068212,7,1879.89,1004.43,16,7.08011,6.63236,3,24,0,0,0,0,,,,5.47305
27068212,8,1888.43,488.291,16,3.4419,3.22423,3,24,0,0,0,0,,,,3.48634
27068212,9,1872.87,422.16,24,3.5451,3.41405,3,24,0,0,0,0,,,,2.7566
27068212,10,1887.56,1070.9,4,3.43379,3.53561,3,24,0,0,0,0,,,,3.40487
27068212,11,1891.18,823.552,16,5.80511,5.43799,3,24,0,0,0,0,,,,4.71564
27068212,12,1883.62,7100.18,4,22.7665,23.4416,3,24,0,0,1,1,1883.61,6317.64,4,22.114
27068212,13,1892.29,2639.71,16,18.607,17.4303,3,24,0,0,1,1,1892.25,2520.41,12,15.6918
27068212,14,1881.35,1451.09,4,4.65288,4.79085,3,24,0,0,0,0,,,,4.56807
27068212,15,1894.62,6571.65,4,21.0718,21.6966,3,24,0,0,1,1,1894.63,5360.83,4,19.0371
