key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
335661307_2,335661307,2,1875.89,896.661,24,13.4706,1,True,True,13.0093,9.30019,-3.00072,step,False,True,True,True,True,True,0.550257,1.28243,,,False,True,True,True,,True,
335661307_3,335661307,3,1889.91,4144.67,16,51.3623,1,True,True,49.1842,262.133,41.0971,flare_decay,True,True,True,True,True,True,0.316484,0.8665,,,True,True,True,True,,True,
335661307_4,335661307,4,1888.62,1197.28,16,14.8371,1,True,True,17.7601,16.6142,3.29841,flare_decay,True,True,False,True,True,False,0.177467,0.401462,,,True,True,True,False,,True,
335661307_5,335661307,5,1883.35,3703.57,24,55.639,1,True,True,52.1452,228.854,28.9108,flare_decay,True,True,False,True,False,False,0.0777001,0.170497,,,True,True,True,False,,True,
335661307_6,335661307,6,1891.1,3294.67,24,49.496,1,True,True,41.4353,381.902,14.3187,flare_decay,True,True,True,True,True,True,0.417829,0.916325,,,True,True,True,True,,True,
335661307_7,335661307,7,1871.01,1466.14,2,5.92418,0,False,,,,,,,,,,,,,,,,,,,,,,
335661307_8,335661307,8,1890.78,1559.92,8,13.5515,1,True,True,12.489,7.4662,-3.80797,flare_decay,False,True,False,True,True,False,0.154125,0.542395,,,False,True,True,False,,True,
335661307_9,335661307,9,1877.85,1124.7,24,16.8964,1,True,True,19.9267,59.1809,-9.36944,flare_decay,False,True,True,True,True,True,0.515876,1.19738,,,True,True,True,True,,True,
335661307_10,335661307,10,1881.08,4015.1,4,22.9176,1,True,True,24.4837,83.2677,3.5144,flare_decay,True,True,True,True,True,True,0.717491,0.861978,,,True,True,True,True,,True,
335661307_11,335661307,11,1878.55,3859.3,16,47.8258,1,True,True,46.012,385.833,22.4426,flare_decay,True,True,True,True,True,True,0.546906,0.894326,,,True,True,True,True,,True,
335661307_12,335661307,12,1875.95,542.179,24,8.14519,0,True,,,,,,,,,,,,,,,,,,,,,,
335661307_13,335661307,13,1883.3,717.307,4,4.09429,0,True,,,,,,,,,,,,,,,,,,,,,,
335661307_14,335661307,14,1878.37,611.338,8,5.31087,0,True,,,,,,,,,,,,,,,,,,,,,,
335661307_15,335661307,15,1892.39,2428.19,16,30.091,1,True,True,29.2053,194.378,15.2624,flare_decay,True,True,True,True,True,True,0.344267,0.722013,,,True,True,True,True,True,True,
335661307_16,335661307,16,1891.03,1437.64,8,12.4892,1,True,True,12.4919,20.4048,-8.82578,flare_decay,False,True,True,True,True,True,0.473573,0.728004,,,True,True,True,True,True,True,
335661307_17,335661307,17,1874.7,1948.83,24,29.2774,1,True,True,29.9105,100.183,1.43485,flare_decay,True,True,False,True,True,False,0.285705,0.54808,,,True,True,True,False,,True,
335661307_18,335661307,18,1888.95,2980.92,4,17.0147,1,True,True,16.6684,30.259,-10.3292,flare_decay,False,True,True,True,True,True,0.584168,0.981674,,,True,True,True,True,,True,
335661307_19,335661307,19,1875.28,3959.33,2,15.9983,1,False,True,17.4281,52.4291,18.579,flare_decay,True,True,True,True,True,True,0.455589,0.768145,,,True,False,True,True,,True,
341649643_0,341649643,0,1871.7,4232.54,1,7.20664,0,False,,,,,,,,,,,,,,,,,,,,,,
341649643_1,341649643,1,1871.81,5557.78,24,36.0553,1,True,True,34.8275,471.534,32.8783,flare_decay,True,True,True,True,True,True,0.694924,1.0116,,,True,True,True,True,,True,
341649643_2,341649643,2,1891.62,2186.6,2,5.32945,0,False,,,,,,,,,,,,,,,,,,,,,,
341649643_3,341649643,3,1881.33,15775.8,4,49.5777,1,True,True,48.9291,264.865,-34.1371,flare_decay,False,True,True,True,True,True,0.983299,0.991923,,,True,True,True,True,,True,
341649643_4,341649643,4,1876.6,2292.5,8,9.45727,1,True,True,8.34939,3.72217,-1.67435,flare_decay,False,True,False,True,True,True,1.60455,1.74495,,,False,True,True,True,,True,
341649643_5,341649643,5,1889.66,7784.67,8,32.1142,1,True,True,31.5168,550.756,43.7577,flare_decay,True,True,True,True,True,True,1.27901,0.965631,,,True,True,True,True,,True,
341649643_6,341649643,6,1878.49,7428.29,16,40.9696,1,True,True,38.7393,530.33,30.8179,flare_decay,True,True,True,True,True,True,0.890501,0.996393,,,True,True,True,True,,True,
341649643_7,341649643,7,1878.22,6505.73,2,15.8566,1,False,True,14.5777,53.9558,20.5432,flare_decay,True,True,True,True,True,True,1.3977,0.953161,,,True,False,True,True,,True,
341649643_8,341649643,8,1882.7,2357.32,1,4.01375,0,False,,,,,,,,,,,,,,,,,,,,,,
341649643_9,341649643,9,1897.08,3749.86,1,6.3848,0,False,,,,,,,,,,,,,,,,,,,,,,
341649643_10,341649643,10,1879.45,3993.91,8,16.4761,1,True,True,15.0251,54.2256,0.959741,flare_decay,True,True,True,True,True,True,0.953196,0.870769,,,True,True,True,True,,True,
341649643_11,341649643,11,1896.41,502.935,24,3.26272,0,True,,,,,,,,,,,,,,,,,,,,,,
341649643_12,341649643,12,1890.26,6036.59,24,39.1616,1,True,True,33.9853,898.423,245.063,flare_decay,True,True,True,True,True,True,1.14992,0.953588,,,True,True,True,True,True,True,
341649643_13,341649643,13,1880.95,701.775,16,3.87054,0,True,,,,,,,,,,,,,,,,,,,,,,
341649643_14,341649643,14,1890.79,738.38,8,3.04605,0,True,,,,,,,,,,,,,,,,,,,,,,
341649643_15,341649643,15,1883.58,1775.29,2,4.32695,0,False,,,,,,,,,,,,,,,,,,,,,,
