key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
202293411_7,202293411,7,2627.33,2580.18,2,4.04611,0,False,,,,,,,,,,,,,,,,,,,,,,
202293411_8,202293411,8,2632.48,22381.1,1,25.7262,1,False,True,24.0798,139.928,-30.2851,flare_decay,False,True,True,True,True,True,1.13386,0.993436,,,True,False,True,True,,True,
202293411_9,202293411,9,2618.63,562.984,24,4.19812,0,True,,,,,,,,,,,,,,,,,,,,,,
202293411_10,202293411,10,2635.81,6037.03,8,19.0781,1,True,True,15.3679,2.21383,-5.0606,flare_decay,False,False,False,True,True,False,,,,,False,True,False,False,,True,
202293411_11,202293411,11,2616.57,5905.73,4,13.7595,1,True,True,13.3254,35.785,-6.13727,flare_decay,False,True,True,True,True,True,0.904469,1.02341,,,True,True,True,True,True,True,
202293411_12,202293411,12,2613.98,10835,2,16.991,1,False,True,17.0135,33.0288,-13.7189,flare_decay,False,True,True,True,True,True,1.0793,0.979357,,,True,False,True,True,,True,
202293411_13,202293411,13,2610.56,8857.13,4,20.6359,1,True,True,14.7584,40.9443,-6.61509,flare_decay,False,True,True,True,True,True,1.28074,0.992223,,,True,True,True,True,,True,
202293411_14,202293411,14,2628.4,8560.25,4,19.9442,1,True,True,18.3275,89.0315,-8.0095,flare_decay,False,True,True,True,True,True,0.921443,0.921743,,,True,True,True,True,True,True,
202293411_15,202293411,15,2627.98,7947.23,2,12.4625,1,False,True,11.5981,7.42865,-5.92774,flare_decay,False,True,True,True,True,True,0.801957,1.01274,,,False,False,True,True,,True,
202293411_16,202293411,16,2635.77,28876.6,1,33.1925,1,False,True,32.1618,140.096,-1.05791,flare_decay,True,True,True,True,True,True,0.893159,0.972087,,,True,False,True,True,,True,
202293411_17,202293411,17,2614.44,23905.8,1,27.4788,1,False,True,28.4697,144.894,6.63318,flare_decay,True,True,True,True,True,True,0.862055,0.961914,,,True,False,True,True,,True,
202293411_18,202293411,18,2614.88,8180.14,4,19.0586,1,True,True,15.6124,24.6007,-1.5774,flare_decay,True,True,True,True,True,True,0.691107,0.766017,,,True,True,True,True,,True,
